Week End,Season,Measure,Age Group,Race/Ethnicity,Sex,Population Size,Count,Percent
09/30/2023,2023-2024,UpToDate_2023_2024,65+ yrs,"Asian, non-Latinx",All Sexes,23186,922,0.0
04/20/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,326,
04/20/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,2070,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,65+ yrs,"Other, non-Latinx",All Sexes,6531,37,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Asian, non-Latinx",All Sexes,10628,336,0.0
04/06/2024,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,308,
09/23/2023,2023-2024,UpToDate_2023_2024,50-64 yrs,Unknown,All Sexes,,111,
01/27/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,280,
12/16/2023,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,282,
09/30/2023,2023-2024,UpToDate_2023_2024,All Ages,Unknown,Female,,768,
10/28/2023,2023-2024,UpToDate_2023_2024,All Ages,All Race/Ethnicities,Unknown,,520,
03/30/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,320,
09/23/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Other, non-Latinx",All Sexes,18857,165,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,65+ yrs,Unknown,All Sexes,,104,
01/06/2024,2023-2024,UpToDate_2023_2024,All Ages,All Race/Ethnicities,Unknown,,852,
09/23/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"White, non-Latinx",All Sexes,37776,32,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,390,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Asian, non-Latinx",All Sexes,10628,88,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,All Ages,All Race/Ethnicities,Unknown,,9,
10/21/2023,2023-2024,UpToDate_2023_2024,50-64 yrs,Latinx,All Sexes,122098,5210,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"White, non-Latinx",All Sexes,28798,723,0.0
02/10/2024,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,301,
09/23/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Female,429168,1527,0.0
12/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"White, non-Latinx",All Sexes,28798,4246,0.1
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Asian, non-Latinx",All Sexes,10628,188,0.0
01/27/2024,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,296,
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Unknown,All Sexes,,91,
09/30/2023,2023-2024,UpToDate_2023_2024,All Ages,"Asian, non-Latinx",Unknown,,3,
09/23/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,All Race/Ethnicities,All Sexes,545173,418,0.0
02/17/2024,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,301,
09/30/2023,2023-2024,UpToDate_2023_2024,50-64 yrs,Unknown,All Sexes,,232,
11/18/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,172,
01/13/2024,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,294,
09/23/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Asian, non-Latinx",All Sexes,47111,297,0.0
11/11/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,6557,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,All Race/Ethnicities,All Sexes,209779,278,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,All Ages,All Race/Ethnicities,Male,1332725,11757,0.0
03/16/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,1929,0.0
12/02/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,2944,0.0
